@RELATION fullstop

             @ATTRIBUTE three_before_numeric {TRUE, FALSE}

             @ATTRIBUTE two_before_type {fullstop, numeric, other}

             @ATTRIBUTE two_after_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_after_type {lower, capital_common, np, comma, fullstop, numeric, quotes, other}

             @ATTRIBUTE one_before_type {title, abbrev, internal, quotes, time, other}

             @ATTRIBUTE one_before_contains_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_before_capitals integer

             @ATTRIBUTE one_after_length integer

             @ATTRIBUTE one_before_length integer

             @ATTRIBUTE words_since_EOS integer

             @ATTRIBUTE words_until_EOS integer

             @ATTRIBUTE spaces_following integer

             @ATTRIBUTE class {EOS, NEOS}

             @DATA
FALSE,other,FALSE,capital_common,other,FALSE,0,3,7,16,67,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,6,45,47,2,EOS
FALSE,other,FALSE,capital_common,quotes,FALSE,0,5,2,54,88,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,4,51,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,6,36,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,3,51,24,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,2,5,22,89,1,EOS
FALSE,other,FALSE,np,quotes,FALSE,0,3,2,141,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,10,26,34,1,EOS
FALSE,other,FALSE,np,abbrev,FALSE,0,3,2,34,0,0,EOS
FALSE,other,FALSE,np,quotes,FALSE,0,3,2,22,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,8,63,0,0,EOS
FALSE,other,FALSE,numeric,other,FALSE,0,1,7,90,131,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,5,19,27,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,9,51,156,1,EOS
FALSE,other,FALSE,other,quotes,FALSE,0,9,2,7,56,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,8,99,58,2,EOS
FALSE,other,FALSE,other,other,FALSE,0,2,4,9,12,1,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,8,35,0,0,EOS
